SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,PacketSize,Duration,Flag,Anomaly
192.168.57.7,10.0.144.199,57446,764,TCP,438,0.30039826031724004,ACK,0
192.168.140.63,10.0.177.222,16819,886,TCP,410,0.7446935875673857,SYN,0
192.168.114.36,10.0.65.107,1884,912,TCP,415,5.596313639509302,SYN,0
192.168.52.174,10.0.109.197,39182,547,UDP,671,1.7550640769303567,SYN,0
192.168.44.152,10.0.153.129,63594,401,TCP,506,0.667839464642637,SYN,0
192.168.216.9,10.0.73.51,55367,201,ICMP,590,0.11487856007126228,SYN,1
192.168.15.24,10.0.252.211,45756,761,TCP,619,2.3470807858604235,PSH,0
192.168.111.60,10.0.76.81,12308,611,TCP,319,0.7811608358860891,SYN,0
192.168.13.144,10.0.159.76,55910,820,TCP,423,0.3686715577732062,FIN,0
192.168.101.184,10.0.95.33,7289,989,TCP,409,0.6000553979950736,FIN,0
192.168.214.57,10.0.164.52,17874,999,TCP,236,0.3724098374179745,PSH,0
192.168.229.151,10.0.167.30,63702,466,UDP,542,0.8008559863379701,SYN,0
192.168.142.208,10.0.34.231,38218,652,TCP,530,0.3187404935476486,PSH,0
192.168.3.195,10.0.238.249,22986,595,TCP,632,0.5905609194392493,PSH,0
192.168.81.179,10.0.95.142,48215,560,TCP,547,0.5555794054384491,RST,0
192.168.216.88,10.0.12.85,61812,790,UDP,239,0.9572929601586515,FIN,0
192.168.142.40,10.0.23.253,45155,379,TCP,429,0.014267314856665608,ACK,0
192.168.110.246,10.0.127.65,61287,760,UDP,437,0.9131735935693296,PSH,0
192.168.172.27,10.0.172.94,17047,895,TCP,551,0.8992216809375942,PSH,0
192.168.47.98,10.0.117.142,42114,177,TCP,234,0.4980546566268606,PSH,0
192.168.49.92,10.0.95.131,2709,52,TCP,554,0.2835564485819946,SYN,0
192.168.176.155,10.0.241.41,1793,79,UDP,578,1.8279131740957186,ACK,1
192.168.135.207,10.0.3.253,60759,385,UDP,474,0.42278944405103996,SYN,0
192.168.22.187,10.0.134.113,63979,834,TCP,420,0.3735732393941182,SYN,0
192.168.235.138,10.0.203.122,57125,576,TCP,617,0.6220681540745635,ACK,0
192.168.63.250,10.0.222.98,3457,8,TCP,361,0.32571609351714037,RST,0
192.168.193.21,10.0.193.182,6335,214,TCP,614,1.7764572032574846,FIN,0
192.168.150.213,10.0.22.137,38843,25,TCP,590,0.8322899274469205,FIN,0
