TransactionID,Items
1,"Cucumber,Eggs"
2,"Bread,Eggs,Soda"
3,"Yogurt,Ice Cream,Bananas,Garlic,Tea,Butter"
4,"Cereal,Yogurt,Ice Cream"
5,Onions
6,"Fish,Butter,Cheese,Tea"
7,Tea
8,"Chips,Cucumber"
9,"Jam,Chips,Flour,Cucumber,Juice"
10,"Pasta,Cereal"
11,"Cucumber,Carrots,Apples"
12,"Cucumber,Jam,Bread,Butter,Carrots,Onions,Cheese"
13,"Cereal,Onions,Cookies,Juice,Flour,Fish,Beef"
14,"Jam,Coffee,Carrots,Garlic,Yogurt,Chips"
15,"Cucumber,Butter,Peanut Butter,Cereal,Tea"
16,"Cheese,Carrots,Apples,Coffee,Cucumber,Chicken"
17,"Chips,Pasta"
18,"Fish,Yogurt,Cookies,Lettuce,Chicken,Soda"
19,"Chips,Butter,Juice,Onions"
20,"Soda,Apples,Bread,Eggs,Cucumber"
21,"Flour,Bread"
22,"Fish,Rice,Garlic,Chicken,Tomatoes"
23,"Cheese,Chips,Apples,Juice"
24,"Juice,Bread,Flour,Cookies,Rice,Cereal,Coffee"
25,"Jam,Milk,Chicken,Tomatoes,Chips,Fish,Cookies"
26,"Cucumber,Juice,Peanut Butter,Cereal,Chips,Cookies,Bread"
27,"Butter,Chips,Peanut Butter,Rice"
28,Fish
29,Chicken
30,"Peanut Butter,Lettuce,Chips,Cookies,Cereal,Ice Cream"
31,"Cookies,Tomatoes"
32,"Carrots,Onions,Soda,Ice Cream,Jam,Rice,Cucumber"
33,"Coffee,Cheese,Flour,Fish,Tomatoes,Bananas,Carrots"
34,"Peanut Butter,Juice,Cheese,Flour,Eggs"
35,"Bread,Cheese,Butter,Cookies,Tea,Beef,Milk"
36,"Cheese,Jam,Fish,Cookies,Chips,Juice,Chicken"
37,Chips
38,"Flour,Garlic,Beef,Chicken,Cheese,Cookies,Onions"
39,"Bananas,Ice Cream,Beef,Tea,Onions"
40,"Coffee,Peanut Butter,Flour"
41,"Chicken,Bread"
42,Cheese
43,"Cucumber,Juice,Lettuce,Fish,Apples,Bananas"
44,"Cookies,Chips,Onions"
45,"Milk,Chicken,Tea,Onions"
46,"Cookies,Ice Cream,Butter,Carrots"
47,"Cucumber,Chicken,Bread,Milk,Pasta,Tea,Ice Cream"
48,"Cucumber,Bananas,Chicken,Cookies,Ice Cream,Eggs,Yogurt"
49,Cookies
50,"Beef,Cheese"
51,"Onions,Tomatoes,Chips,Cereal,Fish,Jam"
52,"Soda,Coffee,Peanut Butter"
53,Soda
54,"Apples,Juice,Peanut Butter,Eggs,Tea,Ice Cream"
55,"Tea,Garlic,Beef,Carrots"
56,"Coffee,Cookies"
57,Milk
58,"Juice,Bread,Pasta"
59,Cereal
60,"Coffee,Chicken,Flour,Fish"
61,Garlic
62,"Carrots,Lettuce,Milk,Butter,Peanut Butter,Tea"
63,"Rice,Bananas,Flour"
64,"Ice Cream,Coffee,Cucumber,Onions,Beef,Lettuce"
65,"Juice,Fish,Lettuce,Milk,Cheese,Chips,Carrots"
66,"Eggs,Tea,Cereal,Chips,Rice,Cheese,Soda"
67,"Garlic,Butter"
68,"Cheese,Carrots,Peanut Butter,Lettuce"
69,"Chips,Peanut Butter"
70,"Yogurt,Tomatoes,Carrots,Ice Cream"
71,"Beef,Soda,Cucumber,Eggs,Cheese,Flour,Cereal"
72,"Eggs,Lettuce"
73,"Bananas,Yogurt,Peanut Butter,Pasta,Rice,Carrots,Eggs"
74,"Eggs,Chicken,Chips,Soda,Bananas,Beef,Bread"
75,Peanut Butter
76,"Fish,Apples"
77,"Pasta,Soda,Onions,Beef,Juice,Carrots"
78,"Flour,Butter,Coffee,Juice,Jam,Onions"
79,"Peanut Butter,Carrots,Lettuce,Beef"
80,"Jam,Chicken,Soda"
81,"Onions,Rice"
82,"Lettuce,Milk,Carrots,Cereal"
83,"Coffee,Juice"
84,Coffee
85,"Apples,Cookies,Ice Cream"
86,Rice
87,"Flour,Carrots"
88,"Pasta,Bananas,Ice Cream"
